#{"t_start": 1744768078.8782742, "env_id": "merge-v0"}
r,l,t
3.111111,4,20.85709
10.139875,12,20.974368
4.874971,6,21.032774
5.873704,7,21.101437
3.914788,5,21.151153
3.914788,5,21.200514
4.830832,6,21.258615
3.947389,5,21.307475
5.733431,7,21.376948
10.591153,12,21.496171
10.139875,12,21.613971
4.005556,5,21.663596
2.998121,4,21.704041
5.838889,7,21.773125
3.04879,4,21.813263
10.135266,13,21.943335
5.79879,7,22.012594
5.733431,7,22.081396
5.838889,7,22.150227
3.104346,4,22.189977
4.830387,6,22.249598
3.01386,4,22.289482
3.088889,4,22.329316
4.822724,6,22.388094
4.747054,6,22.447116
5.780723,7,22.516542
3.088889,4,22.555891
4.80261,6,22.614446
3.965457,5,22.663923
4.005556,5,22.713197
10.563375,12,22.83524
3.111111,4,22.877516
10.618931,12,22.998412
5.711613,7,23.068415
4.778315,6,23.12743
3.930526,5,23.176598
4.803054,6,23.23678
5.748121,7,23.305886
3.111111,4,23.345695
4.790258,6,23.405383
3.900098,5,23.455038
3.958304,5,23.505031
3.930526,5,23.554731
3.068148,4,23.594507
4.790258,6,23.653747
3.04879,4,23.693927
4.778315,6,23.753458
4.803054,6,23.812305
5.780723,7,23.880476
4.778315,6,23.939533
4.756764,6,23.999095
10.591153,12,24.118309
5.748121,7,24.188812
10.139875,12,24.306192
3.194444,4,24.346334
3.068148,4,24.386199
4.986082,6,24.444311
5.838889,7,24.513402
10.139875,12,24.63014
4.021012,5,24.679138
5.780723,7,24.748463
10.139875,12,24.866311
4.803054,6,24.925253
10.139875,12,25.043315
5.79879,7,25.112262
5.780723,7,25.182041
2.998121,4,25.222205
6.679147,8,25.302691
5.861111,7,25.371154
5.818148,7,25.439825
3.849102,5,25.491306
4.778315,6,25.549988
4.778315,6,25.608823
5.740292,7,25.678463
4.818036,6,25.737454
4.737991,6,25.797126
5.76386,7,25.866174
5.694982,7,25.936267
3.965457,5,25.98608
2.998121,4,26.026286
3.965457,5,26.075433
4.005556,5,26.124139
11.0,12,26.241383
4.005556,5,26.29059
4.717118,6,26.350045
4.756764,6,26.410591
5.719721,7,26.480456
4.737991,6,26.540195
3.900098,5,26.590603
6.599102,8,26.676238
6.590098,8,26.76122
3.821325,5,26.811207
3.068148,4,26.851064
3.947389,5,26.900826
2.983431,4,26.940991
4.778315,6,27.001149
6.600501,8,27.081708
5.733431,7,27.150852
4.767168,6,27.20968
10.139875,12,27.329169
6.600501,8,27.40936
6.571325,8,27.488945
5.838889,7,27.557685
5.683835,7,27.627409
4.012593,5,27.676976
5.780723,7,27.745684
10.19543,12,27.863795
3.846753,5,27.913347
10.139875,12,28.031714
4.816765,6,28.091586
11.430292,14,28.233501
5.780723,7,28.302843
11.027778,12,28.419
3.088889,4,28.458699
5.854346,7,28.527225
10.167653,12,28.644224
3.900098,5,28.693827
4.790258,6,28.751689
5.683835,7,28.821332
11.038267,14,28.961091
4.830832,6,29.019655
11.027778,12,29.135712
3.947389,5,29.184847
3.984815,5,29.233901
10.139875,12,29.352894
5.761209,7,29.421252
10.139875,12,29.540056
5.719721,7,29.60943
4.767168,6,29.669283
3.830387,5,29.719135
3.821325,5,29.768632
10.167653,12,29.885751
5.818148,7,29.955922
3.914788,5,30.006054
5.775899,7,30.074638
4.055556,5,30.123215
3.068148,4,30.162569
3.984815,5,30.211374
10.139875,12,30.329369
5.780723,7,30.399511
6.571325,8,30.483235
3.947389,5,30.534626
4.803054,6,30.595479
10.139875,12,30.714399
3.826258,5,30.763355
5.818148,7,30.831931
3.984815,5,30.881382
11.0,12,30.997694
5.79879,7,31.067914
4.737991,6,31.12718
6.590098,8,31.208311
5.826568,7,31.277307
5.683835,7,31.3471
3.088889,4,31.386703
4.756764,6,31.446371
3.965457,5,31.495398
3.984815,5,31.544385
5.791637,7,31.612936
3.886388,5,31.662524
3.965457,5,31.711589
11.0,12,31.828843
5.775277,7,31.897668
6.571325,8,31.978027
11.0,12,32.095078
3.01386,4,32.135273
9.744073,12,32.253827
4.803054,6,32.312459
4.767168,6,32.37235
5.719721,7,32.441677
10.19543,12,32.560312
5.818148,7,32.629527
3.111111,4,32.669076
5.861111,7,32.738287
4.005556,5,32.787421
3.095926,4,32.826952
5.818148,7,32.896501
6.608165,8,32.976892
4.756764,6,33.036085
3.984815,5,33.085053
4.747054,6,33.144134
11.0,12,33.261123
3.01386,4,33.301096
4.737991,6,33.360836
5.748121,7,33.430695
6.617875,8,33.511
4.027778,5,33.560056
4.80261,6,33.619608
10.139875,12,33.737618
4.844542,6,33.796272
4.744633,6,33.854866
6.590098,8,33.93584
5.861111,7,34.005189
11.0,12,34.121618
5.847193,7,34.19087
4.845814,6,34.253003
10.139875,12,34.380003
3.01386,4,34.420473
3.965457,5,34.470233
4.840098,6,34.529998
3.930526,5,34.57929
5.733431,7,34.648305
4.85861,6,34.707258
9.872562,12,34.82137
3.969276,5,34.870722
3.030723,4,34.910669
4.803054,6,34.969697
10.19543,12,35.088359
5.719721,7,35.15749
10.139875,12,35.27592
3.030723,4,35.315798
11.0,12,35.434202
6.590098,8,35.514922
3.04879,4,35.554531
10.139875,12,35.672284
3.088889,4,35.711655
5.818148,7,35.781289
4.005556,5,35.831271
10.139875,12,35.949976
5.882123,7,36.018698
5.780723,7,36.087814
4.767168,6,36.147118
4.818036,6,36.206351
3.151481,4,36.245759
5.780723,7,36.314541
5.748121,7,36.384141
5.780723,7,36.453473
5.748121,7,36.522966
10.139875,12,36.64113
10.618931,12,36.760568
3.111111,4,36.800278
3.947389,5,36.849729
10.139875,12,36.969663
4.830387,6,37.028785
10.19543,12,37.145248
4.027778,5,37.19475
10.563375,12,37.315202
3.01386,4,37.355626
4.767168,6,37.415664
10.139875,12,37.53346
10.139875,12,37.65113
5.76386,7,37.72074
4.790258,6,37.78035
5.706925,7,37.849127
