#{"t_start": 1743703314.4897766, "env_id": "highway-v0"}
r,l,t
2.644444,4,606.150162
30.446438,40,612.291517
27.267922,35,617.637667
27.824811,40,623.724247
5.084404,7,624.806641
30.435065,40,630.95608
6.681331,8,632.185271
28.983373,37,637.833283
2.642946,4,638.455804
3.621659,5,639.228126
22.305077,29,643.709744
10.098374,13,645.693462
4.463406,6,646.601945
27.491841,40,652.765244
13.361307,16,655.214353
17.70396,22,658.562689
28.627481,40,664.643716
5.83646,7,665.697112
27.998439,31,670.09428
30.203234,40,675.786947
33.802003,40,681.44918
3.393751,5,682.167128
4.882158,6,683.026271
2.594972,4,683.603033
9.900377,12,685.317262
30.565821,40,691.043669
16.273964,18,693.604858
12.885373,17,696.046576
16.975583,19,698.733322
31.198255,40,704.408146
7.925423,9,705.69433
25.392088,32,710.229709
16.920241,20,713.120206
13.920415,18,715.679886
4.503229,6,716.543008
1.178991,2,716.836954
13.022923,16,719.107303
30.549991,40,724.79692
6.818866,8,725.940316
3.794764,5,726.659563
5.724841,7,727.665983
29.598573,40,733.359063
4.703256,6,734.213848
33.177488,40,739.855055
29.298219,36,744.91766
13.013707,14,746.920825
16.062123,21,749.928898
19.194768,26,753.611173
19.132593,26,757.307359
34.072915,40,763.012165
26.560118,35,768.021723
9.193843,11,769.582122
3.349833,5,770.303088
30.959316,40,775.990595
33.411554,40,781.688919
3.50785,5,782.398727
18.623525,21,785.387051
29.837974,40,791.043005
7.679437,10,792.466017
30.558597,40,798.162557
14.545207,17,800.580624
34.626367,40,806.288831
33.888569,40,811.964463
20.089228,27,815.779569
17.232034,21,818.762074
14.100524,18,821.310144
2.715992,4,821.882062
21.043858,24,825.298176
27.494147,40,830.941809
14.653119,17,833.357141
33.049876,40,839.04393
10.837824,13,840.884258
19.990601,25,844.429171
31.997919,40,850.106057
18.296,22,853.254085
22.40669,28,857.241251
30.259379,40,862.977404
15.039437,16,865.255463
15.861431,21,868.237811
7.883092,10,869.669278
31.322532,40,875.341597
19.121951,22,878.503525
31.420087,40,884.205259
32.214765,40,889.862109
28.336547,40,895.538656
25.186236,30,899.770859
31.430733,40,905.485461
34.130084,40,911.242442
37.12914,40,916.9716
34.108697,40,922.661029
31.438372,40,928.386847
6.41993,8,929.51546
30.822932,40,935.220128
6.176044,8,936.357293
31.706013,40,942.019019
17.570911,23,945.300159
10.882135,12,947.020086
6.837223,9,948.307573
10.836445,12,950.027116
32.418366,40,956.065581
9.835108,11,957.739607
4.992451,7,958.811185
13.771839,17,961.399658
29.965931,34,966.524961
31.092649,40,972.503522
16.66066,19,975.351005
30.635217,40,981.320023
5.016967,6,982.239447
19.726803,23,985.732878
28.332852,40,991.818903
12.212879,14,993.943994
30.829638,40,1000.011719
6.016964,7,1001.05527
23.654419,29,1005.413593
12.722622,16,1007.835022
4.726844,6,1008.729553
31.372794,40,1014.648807
19.131755,20,1017.647493
6.545825,8,1018.831479
10.41204,12,1020.622032
5.927378,8,1021.821359
26.414258,35,1027.030717
14.081007,17,1029.546556
31.299536,40,1035.513716
18.833603,21,1038.659875
8.790124,12,1040.453935
4.931857,7,1041.505111
1.951099,3,1041.953931
2.910062,4,1042.560266
4.035818,5,1043.310231
5.016967,6,1044.211789
10.773858,13,1046.128458
23.24562,31,1050.75077
10.100308,13,1052.684609
4.747828,6,1053.582716
2.005735,3,1054.040109
21.638112,28,1058.185424
31.957563,40,1064.155849
19.924521,27,1068.132469
5.818461,8,1069.329793
30.062615,40,1075.343057
34.268669,40,1081.328428
33.202003,40,1087.265429
6.328681,8,1088.463757
14.609347,17,1091.006422
34.563239,40,1096.949058
29.180031,40,1102.910225
30.443661,40,1108.903095
5.882139,7,1109.950442
33.44172,40,1115.863225
11.472991,14,1117.937659
28.709438,40,1123.887939
33.145914,40,1129.910455
30.014437,40,1135.854234
33.14635,40,1141.796496
32.694148,40,1147.732923
14.729099,19,1150.575204
9.735521,11,1152.216746
27.916931,35,1157.380644
29.73084,39,1163.202878
31.377712,40,1169.173308
31.646443,40,1175.165521
30.395,40,1181.0947
1.973321,3,1181.541722
30.508037,40,1187.451456
31.48193,40,1193.344991
25.364701,28,1197.485058
9.198498,12,1199.269186
1.796106,3,1199.722412
11.46197,14,1201.799683
7.821522,10,1203.287907
6.838039,9,1204.627952
30.015842,40,1210.611036
27.445283,35,1215.819628
32.754118,40,1221.746633
15.398513,20,1224.737777
9.61427,11,1226.380814
33.699797,40,1232.283745
29.559313,40,1238.261015
3.637142,5,1239.010421
38.447429,40,1244.981225
9.880972,11,1246.60824
18.135332,24,1250.159698
1.707864,3,1250.614581
17.488631,21,1253.750576
6.461092,9,1255.085451
6.90602,9,1256.423467
34.155449,40,1262.377134
2.688786,4,1262.983264
31.864103,40,1268.933613
23.76852,28,1273.080823
16.511861,22,1276.328176
23.882396,27,1280.338347
30.027481,40,1286.258932
32.731169,40,1292.206277
30.960815,40,1298.130485
10.070426,13,1300.069775
33.088146,40,1305.983384
30.259082,35,1311.236616
32.124337,40,1317.264198
30.755795,40,1323.21771
31.371059,40,1329.144191
17.770859,23,1332.592517
29.599958,40,1338.526425
31.093208,40,1344.429852
27.294128,40,1350.517304
2.729514,4,1351.14001
31.617384,40,1357.212229
32.693236,40,1363.264091
32.74706,40,1369.34305
31.160815,40,1375.47053
24.67268,30,1380.0877
31.689681,40,1386.192825
29.03396,37,1391.836061
12.128074,14,1393.922676
30.026789,40,1399.84077
24.225982,31,1404.486602
31.179207,40,1410.459776
27.312382,36,1415.845154
5.28741,7,1416.887218
21.737349,29,1421.235162
1.973321,3,1421.685764
31.799406,40,1427.679292
30.889654,40,1433.585243
29.927359,40,1439.58301
30.935336,40,1445.591281
34.924012,40,1451.579859
33.531561,40,1457.57109
33.814261,40,1463.565185
6.815219,8,1464.755109
34.192549,40,1470.734564
11.301844,14,1472.84164
32.337355,40,1478.797347
7.43647,9,1480.148886
31.442477,40,1486.174971
33.146799,40,1492.163725
33.264537,40,1498.087498
4.568714,6,1498.987755
30.777852,40,1504.934318
31.362094,34,1510.010914
4.413844,6,1510.904135
4.310875,6,1511.811996
30.555476,40,1517.822967
8.146359,10,1519.325125
14.754894,20,1522.338772
11.777444,15,1524.589955
8.088865,10,1526.091585
9.084858,11,1527.773331
30.285101,40,1533.87996
12.714062,14,1536.011834
21.747025,28,1540.257308
31.353652,40,1546.301992
12.312575,16,1548.736708
31.309283,40,1554.840516
32.555767,40,1560.909895
11.905852,13,1562.900765
30.801294,40,1568.961583
4.045424,6,1569.884896
15.732452,21,1573.08781
33.846924,40,1579.163394
22.842302,29,1583.57188
35.762246,40,1589.689606
34.980371,40,1595.779262
32.786272,40,1601.873791
37.236485,40,1607.999579
3.971308,5,1608.773027
17.888321,20,1611.81561
19.014442,24,1615.420413
4.793507,6,1616.315961
9.02271,12,1618.122908
5.905178,7,1619.177198
33.257985,40,1625.163707
20.181214,28,1629.326035
6.227477,9,1630.664744
28.110442,40,1636.696231
11.798565,16,1639.138133
6.380923,8,1640.348715
34.816702,40,1646.458335
19.155617,24,1650.125062
14.669619,18,1652.868129
9.145279,11,1654.537247
4.88009,6,1655.461205
12.225518,15,1657.7247
26.536943,33,1662.762213
14.605919,18,1665.520724
7.595304,9,1666.897209
14.58411,17,1669.471689
30.192489,40,1675.548081
33.169479,40,1681.669369
14.085246,16,1684.110129
24.304441,30,1688.677822
30.054145,40,1694.732699
35.091284,40,1700.87613
18.601372,24,1704.515748
22.9316,24,1708.164829
14.895635,18,1710.887644
14.444205,18,1713.653287
1.905423,3,1714.120836
14.572979,18,1716.839603
24.143699,28,1721.036896
32.95955,40,1726.972915
34.433844,40,1733.030748
14.313114,21,1736.218223
7.711767,10,1737.734892
16.779051,22,1741.066061
32.483573,40,1747.184898
12.192664,16,1749.62762
5.997952,8,1750.836972
32.539445,40,1756.926995
6.039186,7,1757.991933
30.605403,36,1763.473778
23.165291,25,1767.307317
26.728525,33,1772.340016
34.160791,40,1778.378208
32.533964,40,1784.366512
18.815141,23,1787.823554
32.390322,40,1793.770691
32.134106,40,1799.704256
32.407156,40,1805.655704
5.928638,7,1806.711332
30.423588,40,1812.719954
30.932124,40,1818.653738
30.721792,40,1824.652006
12.742239,15,1826.913755
32.284524,40,1832.837122
6.480982,8,1834.041579
1.1587,2,1834.353977
32.862147,40,1840.435315
9.438896,11,1842.099839
33.003626,40,1848.230693
6.623572,8,1849.431417
5.75236,7,1850.491116
14.950641,18,1853.222062
5.063776,6,1854.131898
15.972497,19,1856.970482
4.971288,6,1857.889127
6.835759,8,1859.10768
20.983018,28,1863.334596
33.014287,40,1869.493836
3.993527,5,1870.265009
10.368964,13,1872.23196
4.790797,6,1873.141687
30.556188,40,1879.236001
9.222973,13,1881.214273
13.036263,15,1883.5009
15.333333,20,1886.530706
21.791218,28,1890.780227
2.662108,4,1891.387854
20.456092,25,1895.19256
20.293463,28,1899.455058
9.481312,11,1901.099442
26.983017,37,1906.705479
31.577044,40,1912.742836
15.368848,19,1915.648113
14.345927,18,1918.382204
3.572178,5,1919.137052
32.216547,40,1925.233636
13.996811,18,1927.961938
30.374281,40,1934.019848
20.734089,25,1937.799005
32.755649,40,1943.855981
6.403082,8,1945.064953
23.474038,31,1949.770813
33.470991,40,1955.826725
31.615819,40,1961.847124
30.667745,40,1967.916616
5.482956,7,1968.983294
34.236648,40,1975.028636
31.990533,40,1981.082027
34.598638,40,1987.164564
34.35947,40,1993.212878
31.131918,40,1999.230971
32.992717,40,2005.311701
15.671362,19,2008.199413
28.006362,35,2013.484807
9.879621,12,2015.30618
28.239843,40,2021.366738
7.220723,10,2022.897634
12.427461,16,2025.318924
9.979915,12,2027.142633
21.52614,27,2031.269572
12.016963,13,2033.262145
22.212158,29,2037.696905
30.529058,40,2043.763235
33.661382,40,2049.790935
9.016963,10,2051.320101
7.644608,10,2052.837947
30.847688,40,2058.949925
8.019247,10,2060.461395
30.570413,39,2066.435654
17.787425,20,2069.495777
31.35036,40,2075.575212
12.706508,15,2077.833104
20.218937,23,2081.302436
34.870245,39,2087.193536
32.177243,40,2093.280139
7.53406,10,2094.794643
3.887547,5,2095.566205
31.487802,40,2101.625902
23.210226,29,2106.003752
4.724955,6,2106.916556
6.656909,8,2108.132068
30.694148,40,2114.199293
13.905398,16,2116.634141
30.488993,40,2122.70063
31.854192,40,2128.750532
33.672874,40,2134.792591
34.184062,40,2140.838237
24.190566,28,2145.066005
11.065684,15,2147.351366
20.596971,27,2151.42632
35.888348,40,2157.514721
33.746439,40,2163.527309
29.08275,40,2169.548329
24.4363,32,2174.370679
37.289908,40,2180.411426
37.335573,40,2186.437982
6.688304,9,2187.798035
7.842209,10,2189.306394
32.465445,39,2195.174334
28.73532,37,2200.760812
33.430556,40,2206.81654
12.644911,14,2208.933323
22.532533,27,2213.028751
3.732887,5,2213.790806
36.090063,40,2219.8329
31.190819,40,2225.882728
3.617549,5,2226.655622
4.858702,6,2227.562757
11.701587,13,2229.547374
30.647683,40,2235.594492
30.913255,40,2241.640342
3.705053,5,2242.39342
31.273684,40,2248.481936
10.411381,12,2250.295938
31.478499,40,2256.356557
33.641356,40,2262.382373
31.081239,40,2268.473033
23.116226,26,2272.443742
13.885509,18,2275.175697
29.687101,33,2280.247185
28.30631,39,2286.20971
32.459665,40,2292.242653
11.372043,14,2294.360986
8.558894,11,2296.032335
2.770587,4,2296.639003
31.786568,40,2302.739839
16.039185,17,2305.321913
20.971907,24,2308.999653
19.552722,24,2312.712908
32.773278,40,2318.825498
24.489064,33,2323.877047
14.134106,18,2326.642137
7.538985,9,2328.021476
32.889995,40,2334.077064
4.555908,6,2334.997489
32.394813,40,2341.057831
4.3094,6,2341.980209
20.882665,28,2346.269015
7.821118,11,2347.937101
8.388637,10,2349.467619
32.008871,40,2355.539129
8.17478,11,2357.22599
34.500488,40,2363.049048
11.587916,13,2364.918153
12.74251,14,2366.90234
13.225864,18,2369.477474
26.412087,34,2374.348976
6.165733,8,2375.489346
33.49673,38,2380.930336
33.437999,40,2386.666917
9.759026,13,2388.516553
11.061997,14,2390.496869
19.702367,25,2394.057239
7.309746,9,2395.341105
30.889104,40,2401.019961
34.851432,40,2406.689655
34.283185,40,2412.442704
34.137917,40,2418.153353
34.986966,40,2423.911103
34.689104,40,2429.600966
22.955426,28,2433.614954
25.849703,32,2438.244401
32.764572,40,2443.904229
32.195206,40,2449.574253
18.90236,22,2452.709038
33.858578,40,2458.381147
33.190587,40,2464.101233
6.133196,8,2465.239582
36.093043,40,2470.949167
33.523671,40,2476.625762
13.46291,18,2479.191982
6.415844,8,2480.341018
19.968436,22,2483.474246
30.978515,40,2489.191858
34.475355,40,2494.950434
23.885778,31,2499.392506
10.03004,12,2501.086982
27.018664,33,2505.817936
6.551732,9,2507.09472
11.642156,13,2508.959609
11.70356,13,2510.798836
29.179242,33,2515.53907
33.407214,40,2521.261222
30.466487,40,2526.997679
12.463672,16,2529.295827
25.589183,34,2534.164434
8.216844,10,2535.594264
6.781794,8,2536.744965
32.870513,40,2542.442034
32.885742,40,2548.180722
5.572519,7,2549.17871
31.529173,39,2554.697531
8.426542,10,2556.108949
27.839535,34,2560.941632
13.402003,18,2563.490668
13.839334,16,2565.773938
23.66197,25,2569.319769
32.449366,38,2574.779186
16.528637,19,2577.492689
15.015726,16,2579.762555
16.705285,18,2582.333236
7.281914,10,2583.764644
11.7018,13,2585.611643
5.152607,7,2586.614146
34.058294,40,2592.361472
12.10583,16,2594.642873
14.84252,19,2597.349461
30.979652,40,2603.102792
21.461408,24,2606.51702
27.638476,34,2611.37345
19.65323,26,2615.070311
4.418473,6,2615.921538
31.203742,40,2621.627865
5.460479,7,2622.63259
34.654216,40,2628.424873
19.449829,25,2632.193419
14.190658,16,2634.634365
4.882158,6,2635.543361
13.462041,16,2637.955944
33.084997,40,2644.063282
33.014923,40,2650.224451
12.205462,15,2652.510486
24.357563,29,2656.969625
33.574157,40,2663.01164
29.793376,36,2668.508667
3.690532,5,2669.281121
12.600192,16,2671.678876
33.215661,40,2677.764515
32.090602,40,2683.848979
18.057336,23,2687.333602
12.016963,13,2689.300923
15.352151,18,2692.014127
32.614778,40,2698.073277
23.900631,28,2702.334928
35.496066,40,2708.417825
30.671926,40,2714.50538
5.104591,7,2715.55953
18.596536,20,2718.623291
5.633302,7,2719.684509
17.968951,22,2723.049075
34.477259,40,2729.162768
34.469356,40,2735.263504
25.952797,30,2739.847086
33.279508,40,2745.910868
32.69051,40,2751.947007
31.554632,40,2758.046738
30.825399,40,2764.067167
18.865427,24,2767.666393
9.914848,13,2769.658024
30.507381,40,2775.785402
9.121649,12,2777.600416
15.299995,17,2780.167046
36.115009,40,2786.26741
32.236204,40,2792.278539
17.483479,20,2795.333471
6.53451,9,2796.702359
12.723696,15,2798.976959
31.511718,40,2805.063487
11.465297,15,2807.331644
33.1779,40,2813.40439
34.091925,40,2819.498499
17.4,21,2822.683013
12.167074,15,2824.94337
7.953013,9,2826.315434
19.215889,21,2829.482784
33.32313,40,2835.506375
36.206782,40,2841.561093
33.955545,40,2847.556896
30.601804,40,2853.606107
33.309548,40,2859.663038
15.758737,21,2862.833606
34.983546,40,2868.794775
15.878959,19,2871.625262
34.265365,40,2877.621564
34.952496,40,2883.595312
14.657521,17,2886.134603
24.27586,29,2890.462324
