#{"t_start": 1745873800.6365714, "env_id": "highway-v0"}
r,l,t
1.933883,3,13.330861
31.623475,40,69.61317
10.069474,15,90.940603
5.133431,7,99.564946
8.298884,10,112.630619
6.746348,9,122.661354
15.307043,22,153.315924
7.927259,10,165.835323
11.199767,13,181.809449
14.501599,19,207.769525
17.755449,23,239.184271
28.357532,40,296.174129
29.240211,38,348.806427
5.910258,9,360.151826
2.641149,4,364.917398
13.435932,17,387.644642
8.840465,13,405.285543
9.911064,13,423.100751
2.596752,4,427.748076
10.256668,14,446.588538
3.283166,5,452.598775
3.017518,4,457.451284
28.176975,40,514.21513
3.397942,5,520.06285
3.533333,5,525.54104
11.351872,14,543.405902
28.268492,40,600.102505
6.420723,9,612.092184
28.957244,40,667.036298
15.198501,20,694.840051
29.778802,40,751.00497
28.977215,37,794.738329
1.847407,3,798.292993
27.198501,35,845.883393
10.418961,14,865.180746
17.618961,23,897.056124
11.422222,14,915.675267
12.861639,16,935.838102
19.2,25,968.32009
6.904376,9,980.361653
28.027481,40,1035.515498
9.6,12,1051.262874
16.8,22,1080.678197
9.575042,12,1095.70531
21.794959,26,1130.123782
9.928292,13,1147.747307
29.6,40,1202.803644
20.841184,25,1237.026794
14.528292,19,1263.221585
16.533333,20,1287.002222
24.007192,31,1329.783978
15.644444,19,1351.185699
18.167615,22,1379.692432
15.212972,17,1402.432227
29.241184,37,1452.511862
29.686219,40,1509.004951
7.222222,10,1521.594711
16.460127,21,1549.470666
24.902154,32,1592.632936
27.098293,33,1637.846436
22.01392,27,1673.494622
17.373543,21,1702.1599
3.198501,5,1708.402099
33.452181,40,1764.602696
6.398501,9,1776.592077
21.737343,28,1815.030709
26.0772,33,1860.95593
12.994959,16,1881.602536
34.666667,40,1925.335948
27.442366,35,1974.114243
8.709612,11,1988.776091
6.679947,9,2000.383419
30.825982,40,2055.395397
11.309049,15,2076.082659
25.367615,32,2120.280197
3.198501,5,2126.585402
6.131834,8,2137.548488
8.018961,11,2152.247144
17.304353,21,2182.114371
5.242945,7,2190.920062
12.523544,16,2212.798378
8.820723,12,2229.237809
30.047498,39,2282.398103
20.865168,25,2316.44499
9.552295,12,2331.84947
19.24714,25,2365.271427
15.765009,19,2387.72008
33.963474,40,2443.550761
12.439746,15,2463.986981
3.82584,6,2471.815178
4.818961,7,2480.725607
17.423312,24,2514.553193
16.191698,20,2540.989472
10.332169,13,2557.954545
34.098293,40,2612.489512
4.4,6,2619.977961
27.328088,33,2665.631914
30.692649,40,2720.749338
8.71239,10,2734.138123
30.468661,40,2789.457796
13.00365,16,2810.406139
29.024811,40,2866.113088
26.302809,32,2910.125313
6.105875,8,2920.666523
12.173543,15,2941.165474
31.836686,39,2994.461423
3.2,5,3000.711498
10.466667,13,3018.333368
20.109049,24,3051.343579
33.590212,40,3107.520251
34.08236,40,3162.459912
32.398501,40,3217.347085
30.521752,38,3269.397461
3.308375,5,3275.719434
22.126383,26,3311.003239
25.039403,31,3349.857756
2.446871,4,3354.501956
3.618399,5,3360.129938
2.422222,4,3365.004196
11.193471,14,3384.005441
11.636143,15,3404.055911
22.418961,29,3444.27152
18.377215,22,3466.681267
12.198501,15,3486.668818
13.066667,16,3508.015475
11.032934,14,3527.125491
9.598501,13,3545.108332
29.576286,40,3602.162889
13.931834,17,3625.352635
28.181538,40,3681.622116
1.927645,3,3685.167732
8.88739,12,3701.359561
33.661639,40,3750.280798
7.109049,9,3762.241502
20.797014,25,3796.150198
27.271926,40,3851.55329
8.061626,11,3866.206444
9.972174,13,3883.971227
16.017987,21,3912.469719
17.264132,20,3939.252771
29.33803,40,3994.239328
26.882904,34,4042.11521
25.261626,31,4084.372322
7.672448,9,4093.969578
13.20365,17,4117.161141
12.10607,15,4137.441056
18.302809,23,4168.939434
23.104571,29,4209.566683
10.466667,13,4226.879963
22.300815,28,4265.589201
16.784709,21,4294.689757
13.615729,15,4314.511141
3.620723,5,4320.824509
19.106886,23,4351.289914
16.838448,22,4382.386139
21.685628,26,4417.554153
18.265168,22,4447.021002
12.97303,16,4468.495582
8.018961,11,4483.631141
25.617987,33,4530.331522
1.663419,3,4533.853182
33.516711,40,4588.169521
5.354057,7,4597.202154
15.614445,20,4623.742899
28.955408,40,4680.283453
18.439199,24,4713.067905
12.841184,17,4736.340668
7.726805,10,4749.696411
4.8,7,4759.012115
12.176279,15,4779.042028
6.951331,9,4790.680862
8.926805,12,4806.161757
28.957381,40,4863.214532
29.598113,40,4919.452554
15.261422,20,4943.373294
30.462428,40,4998.637488
18.76828,23,5029.970007
33.313169,40,5085.78433
9.637916,12,5101.506279
11.702809,15,5122.018609
8.671926,12,5137.931291
19.281131,25,5172.717463
28.712936,40,5229.319708
29.713109,40,5284.724711
6.464435,8,5294.933859
21.113632,23,5325.725603
21.422836,31,5369.293436
16.086845,21,5394.699363
28.668492,40,5450.798087
12.175042,15,5470.155271
12.5733,16,5491.936873
6.061626,8,5502.172291
14.4,19,5527.501585
27.249104,33,5571.174296
4.374517,6,5578.84792
2.618962,4,5583.620686
29.248199,40,5638.424082
7.460408,10,5652.068905
13.885628,17,5675.621246
8.018961,11,5690.306757
2.594972,4,5695.267847
20.041709,26,5731.134981
32.973733,40,5785.907474
14.017425,17,5809.482641
26.420723,34,5856.804692
27.6025,40,5910.127696
31.264005,40,5966.786238
22.055086,28,6006.389378
27.070427,36,6055.800031
5.265168,7,6064.873197
23.081112,29,6105.003819
10.87244,13,6118.338858
29.928292,37,6168.358499
29.733551,40,6224.301365
4.241747,6,6231.755112
29.777972,40,6287.783079
5.709033,8,6298.503364
33.276139,40,6351.980805
32.897768,40,6408.438844
23.886462,28,6447.243786
9.6,12,6462.970885
28.094011,40,6520.086106
6.998501,9,6532.339567
20.841184,25,6566.09399
2.666667,4,6570.500366
33.246524,40,6626.503118
31.732052,40,6681.549122
19.308375,25,6716.581572
31.26192,40,6772.523731
34.370001,40,6827.562149
33.426587,40,6882.669404
6.133333,8,6891.323636
21.661626,26,6926.702336
21.70785,26,6963.543361
13.446253,15,6982.634517
18.441709,24,7016.721065
32.785439,40,7074.504433
6.418961,9,7086.84492
28.025982,40,7144.455906
13.994959,17,7168.062255
8.326793,11,7183.236378
20.661626,26,7216.219677
33.260127,40,7272.820066
5.619486,8,7283.230846
14.332416,17,7306.127368
26.149559,31,7347.75208
29.827481,40,7403.681431
22.398501,29,7444.100635
32.768502,40,7499.742381
12.019486,16,7521.681432
25.259779,34,7568.938727
13.979242,17,7592.069769
12.636143,16,7613.896025
7.794959,10,7627.13762
23.725032,29,7666.771039
13.325306,17,7690.554844
34.188419,40,7746.149041
29.513012,40,7802.061661
2.665168,4,7807.000795
20.381292,26,7843.097418
15.283153,20,7870.270374
13.613922,17,7893.339993
5.242945,7,7902.698061
25.36497,31,7946.007571
5.733333,8,7956.644429
24.695985,30,7997.671242
1.730086,3,8001.323606
6.420723,9,8012.754374
8.924814,11,8027.515418
6.974517,9,8039.010768
30.202703,40,8083.174771
14.362439,17,8106.150534
29.002707,40,8160.690444
4.398501,6,8168.455946
32.038448,40,8225.056479
4.408691,6,8232.533865
14.774517,18,8256.742702
12.584371,16,8279.11433
34.0251,40,8334.673435
25.789205,29,8374.743161
31.378867,40,8430.55572
22.552295,27,8466.901646
30.594971,40,8523.351879
10.328587,13,8540.737789
20.131834,24,8572.995219
5.991617,8,8583.165705
6.085628,8,8593.287845
12.818961,17,8616.725102
9.058908,12,8633.410801
12.174517,15,8653.054111
27.42244,40,8709.026144
34.231627,40,8758.905503
11.227653,15,8779.275629
18.266667,22,8806.96347
7.930073,10,8819.926909
22.607192,27,8856.223729
8.15282,11,8871.229437
32.827481,40,8923.544638
7.197654,9,8935.507248
28.62155,40,8992.225335
28.4,40,9046.062802
27.258365,33,9090.572658
9.575042,12,9106.320239
5.6,8,9115.502281
18.398501,24,9148.732161
15.838756,19,9171.977899
5.622222,8,9180.376865
4.082667,6,9186.88574
8.505856,10,9199.981843
32.676071,40,9255.903996
17.039403,21,9284.139059
12.177778,15,9299.290187
8.173554,11,9314.083253
22.600195,29,9350.790982
13.661626,18,9376.074733
18.46919,24,9407.920198
19.974517,24,9441.184892
8.639403,11,9454.990314
10.466667,13,9471.747101
16.611445,21,9500.9115
34.641458,40,9555.160977
32.436668,39,9605.092569
3.220735,5,9611.337799
6.133333,8,9620.801187
9.05705,11,9634.423193
27.369693,34,9679.787824
30.025982,40,9735.830693
18.242945,22,9765.501587
7.794959,10,9778.182863
6.398501,9,9790.458759
6.976279,9,9802.328918
12.177778,15,9820.431845
31.045534,40,9875.793151
23.033609,27,9913.231662
14.058147,16,9934.903452
12.881112,17,9958.350788
26.933333,32,10001.418784
12.972737,16,10022.644553
25.810923,32,10065.875738
20.842945,25,10100.013328
16.0,21,10127.279959
8.061626,11,10141.877217
17.988748,21,10170.40163
32.474059,40,10224.344044
25.043861,31,10267.225607
9.530073,12,10282.624603
9.598501,13,10300.449266
12.041178,15,10320.728787
6.133333,8,10330.56897
8.260127,11,10345.348188
29.160815,40,10401.152194
3.30785,5,10407.03344
20.0,26,10441.940578
16.533333,20,10468.481742
19.236143,24,10501.169277
20.394025,25,10534.142709
9.121262,11,10549.300063
11.460128,15,10568.659199
10.514074,13,10585.793998
4.018961,6,10593.113484
33.565993,40,10648.555748
33.797538,40,10704.033802
28.134489,40,10761.061674
6.998501,9,10772.999357
5.405509,7,10782.266654
6.08591,8,10792.269015
6.179242,8,10802.916603
6.998501,9,10814.978739
24.810285,29,10855.275023
27.845908,33,10899.770647
34.051545,40,10950.700144
10.978087,14,10969.872073
31.085902,40,11025.879322
22.612402,28,11064.036635
6.241709,8,11074.30908
5.1757,7,11083.064995
34.641458,40,11138.125494
22.575042,27,11175.226707
30.046443,40,11231.281888
11.033681,14,11248.513819
20.348797,22,11278.790739
21.702823,26,11314.087793
33.431102,40,11368.550306
7.818961,10,11381.494841
10.442945,13,11398.872104
6.398501,9,11411.047487
17.374517,21,11439.902295
18.905875,24,11470.698896
18.061618,22,11500.092855
27.310548,35,11543.807664
25.198501,30,11584.838493
19.455736,23,11616.540668
17.833217,22,11647.422698
6.977778,9,11658.427673
28.538592,40,11714.26074
28.445566,40,11767.087015
4.019486,6,11774.55224
31.227481,40,11829.152204
7.883848,10,11842.58865
8.126825,11,11857.501868
25.89636,33,11904.235805
26.076071,33,11950.614355
18.91821,24,11982.846552
28.001047,40,12040.591538
7.770001,10,12053.683693
20.994959,26,12088.418658
6.998501,9,12100.503969
23.419486,28,12136.507581
14.8126,19,12161.292019
31.631627,40,12217.524345
32.108375,38,12269.337036
23.256887,28,12302.875242
7.261626,10,12315.73321
29.730999,40,12365.997273
25.368502,31,12408.195263
13.989918,18,12432.766402
6.085628,8,12443.618922
25.986657,32,12488.580407
9.460408,12,12503.803628
33.994959,40,12548.493361
16.060952,21,12577.58943
14.774517,18,12601.576567
0.977215,2,12603.970746
25.436668,31,12646.213494
27.070427,34,12692.305273
27.938592,40,12748.975382
5.709042,8,12759.377583
6.108375,8,12769.668861
14.88739,18,12794.688587
19.082892,23,12825.875823
24.593809,31,12868.099038
12.967482,15,12888.182925
20.066894,26,12920.526713
23.207587,29,12959.87302
8.133333,11,12972.749298
32.349515,40,13028.607913
12.082381,15,13048.288288
11.971024,14,13067.159673
30.963705,38,13119.738413
24.32438,29,13157.130098
14.8,18,13181.021126
12.523251,16,13202.731687
22.926793,28,13241.108843
28.358239,40,13291.297131
10.617181,14,13309.929994
34.401721,40,13357.869655
31.01666,40,13414.158056
27.673763,32,13457.584398
21.572519,27,13493.785301
31.11821,38,13544.449011
27.925032,35,13592.86819
18.707528,23,13624.722949
35.025953,40,13678.909619
27.712472,34,13723.156951
11.198501,15,13743.921024
28.357554,40,13800.787753
18.941364,21,13827.587564
28.286176,40,13883.362158
6.287953,9,13895.482169
20.37102,22,13925.810691
4.927355,7,13934.5492
21.365767,27,13972.426296
29.513109,40,14028.446101
27.303154,32,14073.701691
17.022222,21,14099.448161
15.2,20,14125.738251
17.681112,22,14155.502493
18.682979,27,14190.220847
23.629103,28,14228.074599
10.103344,13,14244.923888
20.798501,27,14282.35023
10.398501,14,14301.692111
14.411429,18,14326.333104
29.467877,40,14381.435662
11.309033,15,14401.673269
4.927075,7,14410.528577
33.601998,40,14464.753235
32.609404,40,14519.914713
16.622222,20,14546.999274
33.987786,39,14598.779364
31.908064,40,14654.353668
16.324057,21,14684.016032
18.328405,21,14713.818514
5.194959,7,14722.69729
7.841718,10,14735.315588
4.927075,7,14744.476076
30.935332,40,14799.070019
29.48355,36,14847.502477
14.880028,19,14873.222538
28.356751,40,14929.897941
6.48739,9,14941.999541
32.039892,39,14994.965136
6.531834,9,15007.102322
28.744518,35,15054.970549
18.815682,23,15086.77296
19.131991,23,15115.258954
33.561744,40,15170.592904
29.44627,40,15225.1048
27.466885,40,15276.323071
30.479425,39,15331.174193
29.864562,40,15384.501053
12.127338,15,15403.648381
26.974267,39,15458.558605
31.379836,39,15513.009371
2.642945,4,15517.785232
20.503612,29,15558.18298
32.566256,40,15614.452741
32.534358,40,15668.200154
17.6,23,15698.997135
30.135922,40,15746.482255
13.942025,17,15766.684753
20.768257,26,15802.600574
28.562224,35,15851.564718
11.415438,15,15872.190372
32.406278,40,15927.790318
12.128292,15,15947.71347
28.581533,40,16004.160759
16.151356,19,16029.929876
32.39346,40,16084.887935
6.974517,9,16096.750528
24.91528,31,16137.572475
1.886831,3,16141.172789
4.374517,6,16148.270034
28.492649,40,16205.473012
27.906876,33,16251.232397
13.814738,17,16274.199408
10.372299,13,16291.093374
27.64968,40,16347.908735
14.833606,16,16369.833995
29.930813,40,16424.062267
27.935922,40,16480.939349
28.89264,40,16537.563879
32.973543,39,16591.184069
29.307722,40,16647.935314
19.948813,24,16681.636824
6.627344,9,16691.529844
8.081374,11,16705.738285
8.239185,10,16719.030731
23.232669,28,16757.975794
29.533394,40,16812.802839
24.944518,31,16855.935894
29.949016,37,16907.657917
15.990643,19,16932.490855
16.10785,21,16961.218608
29.956649,40,17017.06773
33.092093,40,17073.640921
13.861626,17,17095.693998
14.012802,18,17120.648176
32.581412,40,17177.053875
15.768764,20,17202.98162
27.457991,31,17244.984841
29.18842,35,17290.61625
17.790212,22,17320.849649
28.040893,40,17376.409811
30.421889,40,17432.307889
30.494148,40,17482.027648
31.300885,40,17534.174126
19.99346,25,17569.125674
8.567483,10,17581.834154
29.843776,40,17636.996008
30.380301,40,17691.714624
32.495978,40,17747.855207
30.705926,40,17804.474853
32.884061,40,17857.44371
6.441709,9,17869.192637
15.61675,19,17893.892627
9.574517,12,17909.330859
8.661626,11,17923.578454
9.466667,12,17936.437012
27.11637,40,17992.799129
31.925548,40,18048.481838
30.692649,40,18103.094323
21.442366,27,18139.746415
7.2,10,18151.72251
34.566536,40,18206.298548
14.553622,20,18233.86395
30.652502,36,18281.969517
10.635035,12,18298.412989
12.109033,15,18316.94639
23.466667,28,18348.661169
5.641184,8,18358.872895
12.817987,17,18382.558751
14.123251,18,18405.418597
32.241184,40,18460.056198
6.879623,9,18472.2522
29.129416,40,18525.295357
1.753497,3,18528.557669
29.963461,36,18575.614674
