#{"t_start": 1745948062.7364755, "env_id": "highway-v0"}
r,l,t
13.918956,18,45.794228
2.598513,4,50.364206
3.30712,5,56.106374
3.30687,5,61.957409
5.838686,8,72.200968
4.463371,6,79.182196
23.282908,32,124.438947
15.520996,21,153.556265
8.152952,11,168.299609
2.673859,4,173.123734
6.263148,8,183.007339
1.708385,3,186.603923
5.369813,7,195.042863
5.483775,8,205.309744
8.102034,11,220.777877
12.040676,17,244.784576
17.146204,21,271.172302
5.637952,7,279.733269
27.203344,40,338.477072
10.466667,13,355.624844
14.8,18,379.300718
29.897768,36,428.674141
3.461626,5,434.367706
29.974729,40,490.556351
5.265168,7,499.586726
3.747842,5,505.555448
5.172737,7,514.008286
0.996316,2,516.496152
6.46368,9,528.280743
13.933333,17,551.036335
4.374517,6,558.363711
2.066007,3,561.993053
4.421924,6,569.206837
3.439716,5,575.297279
13.684141,18,599.651858
2.641184,4,604.643768
2.673859,4,609.486315
1.77453,3,613.08581
13.042366,16,633.834188
29.158097,40,689.441563
5.172737,7,698.12762
7.842945,10,711.465175
6.535766,9,723.068521
14.736984,18,746.93772
11.30785,14,765.004974
13.326234,17,788.604774
28.842366,36,836.968673
2.4,4,841.620226
9.618961,13,859.055358
22.079875,28,897.809889
8.0,11,909.039861
15.155945,19,934.519733
5.168284,7,943.220908
13.90785,17,965.976233
13.793471,17,988.487302
9.6,12,1003.506283
24.283153,29,1041.781195
28.728292,35,1089.708453
14.798501,18,1114.424007
33.855086,40,1169.612574
31.841402,40,1224.098307
30.424815,40,1278.545921
11.569476,15,1298.933976
15.223037,19,1318.39502
1.140465,2,1320.89632
8.579899,10,1333.916698
14.442957,19,1359.386358
21.688889,28,1394.379085
12.193473,16,1415.570568
30.150733,40,1470.456649
22.060138,28,1508.150429
31.89822,40,1563.460398
26.389918,33,1608.705558
29.688889,38,1650.542202
4.304851,6,1657.37692
11.285628,14,1675.62175
4.328292,6,1682.556338
13.619486,18,1707.196927
30.02244,40,1762.602672
24.371157,31,1805.198551
11.219486,15,1825.547479
8.933333,12,1840.877684
16.836143,21,1868.092459
9.598501,13,1886.153976
4.022222,6,1893.677855
5.661626,8,1903.764671
17.814182,22,1933.349039
20.998501,25,1967.092436
24.08264,29,1998.425175
2.447407,4,2002.870823
15.883848,20,2027.121983
31.535857,40,2082.058785
11.861626,15,2102.587418
23.431018,26,2134.334742
12.061626,16,2156.322666
4.027653,6,2164.081246
5.174791,7,2172.82115
33.383378,40,2228.884298
20.967049,26,2261.946886
33.559919,40,2318.317397
30.555774,40,2372.670784
31.133551,40,2425.758843
24.101768,28,2463.649743
28.714871,40,2520.211876
27.6071,35,2569.469064
7.865168,10,2583.265828
5.6,8,2593.516669
6.977778,9,2603.966377
22.10607,29,2643.264071
5.506655,7,2652.307437
32.561261,40,2705.513942
33.323251,40,2756.155617
13.931834,17,2779.219169
7.770011,10,2791.926498
22.383037,34,2838.918591
13.19048,17,2862.206893
28.151321,36,2912.634079
13.041184,16,2933.831485
28.766515,35,2981.759212
31.094148,40,3036.843829
29.681112,37,3087.197907
16.79346,21,3114.885451
25.434172,30,3155.54756
27.248304,33,3201.177333
31.839654,40,3255.810318
30.686102,40,3311.061866
13.91637,20,3334.861511
7.241184,10,3347.954149
7.218961,10,3361.721225
15.037904,19,3386.407269
31.522821,38,3438.449016
31.689107,40,3492.495595
4.377778,6,3498.836313
32.460127,40,3553.501534
20.061626,26,3588.74239
19.938657,23,3617.466993
15.794959,20,3644.320174
22.162977,27,3681.403059
12.86793,14,3698.764808
24.424358,30,3739.34304
26.679613,33,3785.547325
27.352295,38,3839.159666
10.372737,13,3856.019683
14.776279,18,3880.471801
9.772671,13,3897.426114
9.836461,11,3911.373275
4.861626,7,3920.19715
30.036691,36,3967.362628
24.822612,30,4008.46892
14.637223,18,4031.860789
17.550515,22,4058.787114
12.151321,15,4079.178387
7.80365,10,4092.101605
14.749577,18,4116.157885
26.256879,33,4162.059052
24.085628,31,4204.777553
12.088889,16,4225.993708
24.018961,31,4268.451609
3.705875,5,4274.043599
8.639403,11,4288.297137
19.539794,25,4323.242755
9.619236,13,4341.319197
23.425668,28,4378.271954
34.595253,40,4432.195205
27.2219,34,4478.23648
5.730253,7,4487.259845
7.480392,9,4498.984652
10.300812,12,4514.478563
11.352295,15,4535.119072
4.0,6,4541.517852
8.822222,12,4555.249634
9.505853,11,4569.699128
32.153346,40,4624.678149
28.512267,40,4677.953667
31.225982,40,4732.416887
5.618961,8,4742.624449
11.644753,15,4763.423088
17.595344,25,4798.790095
8.646443,12,4814.743699
9.993503,11,4828.898108
34.748815,40,4882.999924
31.338592,40,4932.629684
15.666667,19,4951.438447
32.040221,40,5006.342234
16.515811,20,5032.579768
15.748811,19,5058.442508
19.219486,25,5093.079181
2.618962,4,5097.768084
4.861626,7,5105.929746
13.683413,16,5127.108757
28.330909,40,5182.293945
30.259102,40,5237.6777
23.442945,28,5275.491929
26.543019,33,5321.122863
16.822222,22,5347.822663
16.680894,19,5373.601568
14.942018,18,5397.88136
25.619486,33,5440.671993
12.125065,15,5460.990868
18.266667,22,5490.242635
3.531834,5,5496.410811
24.322339,27,5532.43252
18.908441,24,5566.043589
28.952295,40,5621.940147
10.574791,13,5639.335679
10.898313,14,5657.660391
22.495793,27,5694.8575
8.109033,11,5709.411715
15.213971,19,5733.646277
6.974517,9,5745.059108
22.681107,27,5781.716225
17.613839,21,5809.964158
5.266667,7,5817.382333
20.398638,28,5856.334565
12.817987,17,5880.264226
30.425982,40,5934.227101
8.686153,11,5947.802812
13.933333,17,5970.097904
8.389546,11,5984.680506
7.905852,9,5996.642351
14.304829,18,6021.09088
13.950515,17,6044.190589
17.510175,23,6075.795252
30.4,36,6122.08212
33.653597,40,6176.083442
8.731834,11,6190.715228
4.8,7,6199.512902
31.130885,40,6255.099302
30.950515,37,6305.47883
32.128306,40,6355.696887
23.40365,28,6392.966144
14.568784,19,6419.111463
25.2,32,6453.725387
6.131834,8,6463.731198
11.001992,17,6486.959106
6.10785,8,6496.861969
5.218231,7,6505.373402
14.147417,18,6529.668139
4.439337,6,6537.003573
13.612326,15,6555.916812
11.991711,15,6575.808882
29.484197,40,6632.627949
13.019486,16,6654.229997
27.783037,40,6694.828224
4.37356,6,6702.096601
14.687605,21,6731.257822
33.974517,40,6785.386511
14.578469,19,6811.61597
34.172019,40,6865.73737
2.573308,4,6870.761095
10.478409,14,6887.618683
20.568008,25,6920.869894
21.415682,27,6958.251512
4.533333,6,6965.654462
12.037936,15,6984.836622
31.949073,40,7038.133773
5.756732,8,7048.402302
20.794959,25,7081.445349
32.06445,40,7137.053308
30.289022,40,7192.304499
10.466667,13,7209.242706
34.189918,40,7261.260762
14.171822,17,7284.718186
31.504367,40,7341.122101
10.015726,11,7355.79813
21.991973,27,7393.114753
13.326793,17,7416.868346
14.774517,18,7440.721377
29.768502,36,7490.347414
15.287798,19,7515.706565
9.503191,12,7531.917189
6.90607,9,7543.555161
30.427481,40,7597.458966
12.576444,17,7620.400647
9.39756,12,7636.560744
11.239403,14,7655.230836
29.643165,40,7701.226647
6.133333,8,7710.302912
16.820723,22,7740.558368
14.445908,19,7766.722613
18.266667,22,7792.445206
10.554057,13,7809.644992
28.290119,40,7866.016467
28.332175,40,7922.508711
11.283644,14,7940.346977
28.377139,40,7997.375385
28.138592,40,8051.539718
12.177778,15,8071.526738
30.159316,40,8127.178391
12.10785,16,8149.198994
8.70785,11,8163.51647
7.998501,11,8178.626219
6.59353,8,8187.167943
8.128781,11,8200.663068
5.288591,7,8209.532995
12.414402,15,8229.811255
29.388962,36,8280.005581
27.222936,38,8333.133099
32.728569,40,8388.533971
32.03805,40,8445.073279
28.601047,40,8501.47284
12.218957,15,8521.048541
19.71708,24,8553.920895
28.002697,40,8610.114167
8.708375,11,8624.422003
17.324602,21,8653.893818
28.405259,40,8702.445872
28.427481,40,8758.785335
27.935857,40,8814.807918
27.200212,40,8869.985683
4.771157,6,8877.622782
33.733333,40,8930.467698
33.297768,40,8985.63364
27.307327,37,9034.88303
32.0,40,9083.863463
15.704353,18,9108.420805
