#{"t_start": 1742783048.3153129, "env_id": "merge-v0"}
r,l,t
5.706925,7,234.000389
4.778315,6,234.76696
4.027778,5,235.316072
10.139875,12,236.717432
5.733431,7,237.552282
5.780723,7,238.393388
3.947389,5,238.99666
10.167653,12,240.446474
5.701209,7,241.228426
6.571325,8,242.166524
6.088168,8,243.06973
5.861111,7,243.932126
5.706925,7,244.753703
4.88701,6,245.456966
5.733431,7,246.31321
10.139875,12,247.803588
3.965457,5,248.408211
5.663721,7,249.273429
11.027778,12,250.69831
3.929147,5,251.278789
5.748121,7,252.12869
4.027778,5,252.728972
10.139875,12,254.215065
5.76386,7,255.08781
5.780723,7,255.925268
5.733431,7,256.757402
10.139875,12,258.260528
4.747054,6,258.971963
3.068148,4,259.425009
9.956871,12,260.697044
10.139875,12,262.122805
5.706925,7,262.915922
5.76386,7,263.651003
10.139875,12,265.010658
4.005556,5,265.61356
5.76386,7,266.363119
6.486036,8,267.258898
10.223208,12,268.605684
10.139875,12,270.04106
10.167653,12,271.465404
5.748121,7,272.331424
3.984815,5,272.936951
4.778315,6,273.645608
6.600501,8,274.597113
3.906959,5,275.178947
4.767168,6,275.877957
3.01386,4,276.291094
10.139875,12,277.71197
3.984815,5,278.296919
5.816765,7,279.151297
10.223208,12,280.596942
10.139875,12,282.008136
10.139875,12,283.512609
5.747499,7,284.355805
3.947389,5,284.946627
3.821325,5,285.502318
6.590098,8,286.492124
4.005556,5,287.033941
5.748121,7,287.884369
5.888889,7,288.701173
4.845814,6,289.416907
5.780723,7,290.249609
5.748121,7,291.07534
3.01386,4,291.54206
5.818148,7,292.397317
4.027778,5,293.00061
6.580387,8,293.962419
5.780723,7,294.795864
6.679147,8,295.786108
5.780723,7,296.579378
3.04879,4,297.053347
3.930526,5,297.653737
3.04879,4,298.073172
6.571325,8,299.039539
5.694982,7,299.876244
5.719721,7,300.722181
5.861111,7,301.594155
3.858165,5,302.17023
4.005556,5,302.746261
10.139875,12,304.187696
5.748121,7,305.064754
11.0,12,306.432916
10.139875,12,307.910378
3.830387,5,308.521724
4.790258,6,309.260149
5.916667,7,310.090247
3.821325,5,310.701418
6.62688,8,311.650495
5.663721,7,312.491446
4.027778,5,313.068829
4.833871,6,313.79896
4.005556,5,314.390071
3.01386,4,314.843987
5.683835,7,315.702614
3.965457,5,316.260344
4.737991,6,316.94054
3.900098,5,317.564092
4.767168,6,318.320784
6.628279,8,319.306601
4.840098,6,319.98764
6.571325,8,320.946409
10.19543,12,322.316389
5.694982,7,323.111907
3.01386,4,323.584095
6.571325,8,324.50931
4.737991,6,325.224437
5.8085,7,326.082787
3.088889,4,326.552668
5.861111,7,327.407872
11.290214,14,329.10163
4.061111,5,329.634122
5.719721,7,330.413795
2.983431,4,330.851094
4.756764,6,331.579302
2.998121,4,331.957294
4.816765,6,332.567018
