#{"t_start": 1745793999.7832263, "env_id": "highway-v0"}
r,l,t
2.642386,4,4.213937
22.39156,27,9.539368
1.860979,3,10.102934
4.160678,7,11.470466
9.688411,13,13.997838
30.684386,40,21.962386
8.446147,12,24.347158
13.351118,17,27.67769
1.860979,3,28.251337
4.733696,6,29.429394
2.552551,4,30.202687
3.531173,5,31.188126
8.162743,10,33.144676
6.901908,9,34.929054
7.370041,9,36.622745
1.203144,2,37.010167
1.754057,3,37.579648
16.231456,21,41.700842
5.043704,7,43.182175
21.050226,23,47.681978
1.973321,3,48.265418
1.869811,3,48.843018
4.905856,6,50.032943
12.845171,14,52.722121
27.869408,34,59.442958
21.265995,23,64.023195
9.195304,11,66.194985
24.46368,31,72.454049
15.039185,16,75.635794
16.703116,19,79.405382
2.016534,3,79.993256
3.816987,5,80.943679
7.444444,10,82.839329
18.594741,20,86.754756
2.447407,4,87.507837
15.28363,17,90.846632
8.816963,10,92.776792
8.0,11,94.873904
13.605782,15,97.792951
1.973321,3,98.370245
1.86221,3,98.953608
6.926834,8,100.473638
13.839185,15,103.423525
3.928098,5,104.408355
8.682135,10,106.390741
7.039185,8,107.940679
3.82279,5,108.913184
6.582064,8,110.498239
1.114255,2,110.908334
4.030299,5,111.851637
6.604541,8,113.426197
7.214505,9,115.192371
4.072447,5,116.158224
5.750297,7,117.543859
4.039209,5,118.496551
4.75032,6,119.686079
1.820164,3,120.266547
7.305852,9,122.097531
1.906655,3,122.681545
11.96363,13,125.117663
14.860167,16,128.317878
15.528078,17,131.722776
13.039185,15,134.691885
7.505875,9,136.471331
8.415724,10,138.462677
1.069811,2,138.866524
4.979586,6,140.015903
2.039988,3,140.594825
29.376561,33,147.273439
3.816987,5,148.216036
3.039322,4,148.984626
10.977263,12,151.297284
8.904611,10,153.257564
2.039988,3,153.854303
9.925596,11,156.023789
6.505852,8,157.638875
10.128074,12,160.060948
10.252519,11,162.23728
5.652519,7,163.606495
2.039988,3,164.228
3.928098,5,165.16827
2.039988,3,165.762158
16.039185,17,169.053386
8.369783,10,170.977928
11.750296,13,173.57061
15.57102,18,177.16205
17.726834,19,180.954458
1.751662,3,181.539768
2.772656,4,182.298289
8.372519,10,184.31912
6.57572,9,186.103559
1.839988,3,186.694639
10.926834,12,189.00964
7.351246,9,190.743763
28.956921,40,198.352638
9.172546,13,200.941453
7.528094,9,202.71131
9.637969,12,205.094495
13.039185,14,207.864312
8.347059,10,209.847548
7.839185,9,211.62231
10.836704,12,214.013794
1.114255,2,214.431547
4.90438,6,215.622947
7.0,9,217.367071
14.12931,16,220.571604
11.616963,13,223.111722
12.577699,18,226.720686
12.990528,17,230.10851
15.444684,23,234.463076
16.347638,21,238.68955
7.88946,9,240.489715
13.54704,16,243.651826
27.242435,33,250.248414
10.905852,12,252.571039
27.57866,36,259.837216
9.11292,10,261.841962
5.996443,7,263.209851
13.094305,14,265.959205
9.28363,11,268.124423
8.74704,10,270.073663
15.071208,17,273.494406
6.914235,8,275.079227
10.549056,12,277.454753
1.283201,2,277.869439
18.796807,20,281.839278
12.252521,15,284.811115
20.090384,22,289.192866
7.639185,9,290.886234
13.303371,15,293.749037
7.069408,8,295.299737
10.904357,12,297.683881
7.509746,9,299.46803
11.239186,13,301.991848
26.777263,28,307.529034
9.589177,11,309.677811
2.039988,3,310.265245
8.058749,9,311.988235
11.507992,14,314.793607
1.642957,3,315.39122
20.924102,27,320.784937
25.549041,34,327.497401
10.97438,13,330.055107
21.072448,22,334.390177
11.916704,13,336.960025
22.103194,30,342.934742
28.54704,33,349.570148
6.953633,8,351.155304
17.512665,20,355.179332
8.773321,11,357.364761
4.039209,5,358.35107
14.239186,17,361.671776
23.039319,29,367.349064
22.237694,30,373.433503
10.392008,12,375.791871
1.839988,3,376.400479
17.411914,21,380.595225
6.479151,8,382.139894
14.039185,15,385.083421
6.998501,9,386.873699
2.039988,3,387.44694
23.494148,27,392.64224
2.038493,3,393.245598
20.346258,23,397.843789
10.525416,12,400.16664
24.10689,31,406.337147
3.039322,4,407.127958
22.743767,27,412.569851
13.089642,15,415.517067
29.733545,40,423.608248
8.480373,10,425.60394
7.794959,10,427.524562
6.171024,7,428.892366
32.070685,40,436.973336
2.418962,4,437.763444
5.903924,8,439.336336
8.816963,10,441.288925
9.531963,11,443.606174
15.085872,19,447.415592
1.973321,3,447.998625
36.010144,40,455.987938
8.479936,11,458.094281
9.972675,12,460.414305
17.038884,20,464.363634
8.23769,10,466.367571
30.53803,40,474.327606
28.347623,34,481.092936
11.810513,13,483.704783
10.504357,12,486.116912
32.861956,40,494.176514
8.484193,10,496.128991
10.928098,14,498.867315
11.800827,14,501.656138
20.412816,23,506.282464
11.616966,13,508.808437
32.523744,40,516.747083
22.62155,24,521.57671
7.0,9,523.362612
1.949868,3,523.95637
6.63771,8,525.536804
4.906521,6,526.671391
6.794878,9,528.432797
17.689412,20,532.388751
5.578081,7,533.754398
18.366019,22,538.158395
1.906655,3,538.748266
7.839185,9,540.473691
13.106013,17,543.809811
2.400103,4,544.586802
19.860167,22,549.044205
11.637945,13,551.782991
19.353141,23,556.323147
32.757553,40,564.292734
7.283656,9,566.09924
28.859725,35,573.09285
21.772519,27,578.534325
12.774498,14,581.304732
18.816099,22,585.744134
29.877848,35,592.785625
6.622222,9,594.514432
11.300811,13,597.056871
20.905997,28,602.621258
19.439338,24,607.450898
15.725793,18,611.015646
10.491935,12,613.379201
13.016963,14,616.09283
18.260168,22,620.490819
30.215461,40,628.494332
9.851039,11,630.689273
6.622775,8,632.292735
8.928034,11,634.485334
7.123041,9,636.25493
12.771283,16,639.434621
18.99746,23,644.083743
5.593511,7,645.416947
1.8,3,645.986332
6.925483,9,647.764378
15.703931,19,651.43838
23.218392,28,657.546167
7.172519,9,659.271229
6.888809,9,661.038176
16.905857,20,665.075334
22.146574,27,670.4493
32.313634,40,678.40058
33.282546,39,686.200669
9.939115,11,688.418331
6.905879,9,690.203896
14.171415,17,693.533519
21.581354,24,698.373274
29.005259,40,706.22639
26.767336,33,712.926814
13.556282,16,716.150792
16.580672,19,719.920569
11.865736,14,722.731724
15.661416,20,726.747825
18.772519,20,730.774631
9.554075,11,732.912435
3.906541,5,733.892031
13.636868,17,737.259577
3.845702,5,738.239935
12.327499,17,741.657737
2.039988,3,742.240407
25.9339,32,748.778428
7.639185,9,750.488026
4.133333,6,751.608676
27.432284,32,758.082179
5.992643,7,759.427324
12.890697,16,762.584244
16.132757,21,766.715799
16.985852,18,770.285989
13.083634,16,773.470548
12.722519,14,776.306375
22.183037,31,782.495019
7.937097,11,784.812284
29.955774,40,792.8585
16.178592,17,796.281591
15.604817,19,799.919636
7.70584,9,801.701142
29.454867,40,809.634374
31.626241,40,817.604528
5.241184,7,818.97357
17.177263,19,822.73548
30.558067,40,830.855717
2.239322,3,831.43591
14.586636,17,834.86114
17.990843,20,838.870542
18.905852,24,843.662812
5.572519,7,845.02501
12.26197,14,847.703445
12.323731,16,850.86916
15.835291,18,854.393552
6.870661,9,856.187312
8.216951,10,858.111461
31.973458,40,865.853834
7.571848,9,867.624862
6.526165,8,869.155542
7.822975,10,871.060905
2.805774,4,871.83303
9.193617,11,873.994507
11.288374,13,876.603005
6.026565,8,878.150741
23.591489,27,883.581335
4.533117,6,884.742408
10.069187,12,887.163599
3.113864,4,887.942147
33.803766,40,895.980121
8.533901,10,897.966226
2.576279,4,898.763838
30.421128,40,906.815952
33.711405,40,914.799419
18.803203,26,919.996311
30.471926,40,927.977604
13.747561,15,930.955313
30.332989,40,938.855092
21.350456,28,944.486613
24.969668,29,950.269939
31.579127,40,958.39018
6.658672,8,959.957598
10.749721,12,962.318722
12.56986,15,965.359038
31.198435,40,973.496952
14.652536,17,976.876227
31.155767,40,984.831822
2.005735,3,985.411549
30.38038,40,993.518087
5.572519,7,994.910964
28.513122,34,1001.737062
4.039209,5,1002.712076
22.286686,30,1008.851294
22.359574,29,1014.732164
5.88363,7,1016.072063
5.728075,7,1017.446536
31.624977,39,1025.282246
18.027481,24,1030.045126
32.467106,40,1038.183318
29.294148,40,1046.153726
31.760814,40,1053.995323
8.372519,10,1055.989062
2.465179,4,1056.766186
