#{"t_start": 1745810742.5972137, "env_id": "highway-v0"}
r,l,t
22.919882,27,869.512091
8.271222,10,871.676001
12.864905,14,874.691895
8.661626,11,877.070296
9.201861,12,879.659139
31.039185,36,887.864554
5.550438,8,889.724324
10.634689,12,892.375902
14.516425,17,896.037055
11.039185,12,898.597574
20.890697,28,904.62004
5.88363,7,906.131099
7.639185,9,908.070887
7.132822,8,909.89354
3.906541,5,911.058964
10.576541,13,914.049993
17.117945,19,918.421402
4.376279,6,919.807975
13.6,18,923.926642
16.177801,21,928.726128
18.26073,21,933.250372
31.493483,40,941.887345
1.973321,3,942.547115
3.816987,5,943.622764
31.868004,40,952.167085
22.529517,27,957.95292
1.26221,2,958.401096
7.883787,10,960.54635
8.668475,10,962.70342
5.6,8,964.41236
13.774517,17,968.06477
4.771047,6,969.363666
4.039209,5,970.435499
28.283192,36,978.136003
2.772656,4,979.006301
16.571959,21,983.494505
7.643647,11,985.879184
14.975763,16,989.296645
9.567482,11,991.671793
35.973005,40,1000.340704
10.433455,12,1002.906243
16.525075,20,1007.275628
21.091927,27,1013.065581
19.172543,24,1018.227558
7.426542,9,1020.176286
17.172545,22,1024.917186
10.579586,12,1027.505494
5.955556,8,1029.229316
6.215723,7,1030.736222
34.204019,40,1039.390425
17.776281,24,1044.589537
29.915132,40,1053.149286
11.912883,16,1056.587486
13.354181,15,1059.834014
7.039185,8,1061.567628
17.439189,20,1065.908967
11.974914,14,1068.889988
15.6,22,1073.598615
11.11769,12,1076.165095
6.111713,7,1077.683125
9.982319,11,1080.050719
16.022222,21,1084.560146
23.547638,26,1090.123526
1.973321,3,1090.778235
30.844649,40,1099.638587
6.133333,8,1101.473733
13.772591,16,1105.12221
11.14786,14,1108.309909
23.595304,28,1114.629239
30.935847,40,1123.253817
5.595969,7,1124.790883
7.488649,9,1126.73373
10.765758,13,1129.508411
9.820466,11,1131.87554
1.208682,2,1132.314929
21.368436,26,1137.894464
6.861408,8,1139.609812
1.92944,3,1140.269841
21.35032,25,1145.641897
4.725592,6,1146.950336
33.760815,40,1155.630606
25.172519,30,1162.022051
8.372656,11,1164.376061
7.304755,9,1166.330301
5.785852,7,1167.824184
7.659104,9,1169.807813
13.372816,16,1173.249839
8.499575,10,1175.399645
14.377005,18,1179.287384
7.814581,9,1181.23368
9.020735,12,1183.792816
8.731719,10,1185.943252
21.264867,27,1191.728796
20.546103,24,1196.864952
7.793504,9,1198.789654
20.236219,23,1203.732796
20.393507,24,1208.892765
16.711421,18,1212.80778
13.954783,16,1216.246711
16.04457,19,1220.284697
9.77102,11,1222.648271
9.1717,11,1225.005374
9.928292,13,1227.78559
16.404579,22,1232.477706
15.904357,17,1236.116553
32.405259,40,1244.737877
34.129013,40,1253.507934
31.11637,40,1262.261433
9.194826,11,1264.667701
14.439787,18,1268.613328
6.636707,8,1270.360187
2.017766,3,1271.013548
11.825037,15,1274.30825
11.531858,15,1277.576066
21.864565,24,1282.848842
16.814482,18,1286.78397
19.015723,24,1292.028908
31.018005,40,1300.774332
2.882529,4,1301.650699
9.328015,12,1304.270775
7.526834,9,1306.238635
14.304611,17,1309.964871
12.247925,16,1313.466026
8.863589,10,1315.647465
33.286823,40,1324.394952
31.335332,40,1333.141009
10.813593,15,1336.431181
24.414438,29,1342.79039
1.954975,3,1343.450876
32.525134,40,1352.179806
9.039185,10,1354.372146
16.386325,20,1358.746515
6.244554,8,1360.49316
5.133333,7,1362.025944
11.211224,13,1364.871334
6.526154,8,1366.618601
7.016963,8,1368.364835
9.30188,11,1370.772493
4.438841,6,1372.088126
13.40365,16,1375.585878
8.190736,10,1377.769341
7.66017,9,1379.740951
12.904357,14,1382.80264
5.044524,7,1384.332652
3.873017,5,1385.425135
29.805259,40,1394.175374
17.09281,20,1398.54946
4.905853,6,1399.860014
5.637946,7,1401.387984
25.684654,32,1408.398038
14.950523,18,1412.329633
6.979586,8,1414.07683
7.971279,9,1416.047322
32.291401,40,1424.711488
10.360012,13,1427.48865
7.507213,9,1429.434721
26.697977,29,1435.711851
7.792083,9,1437.652964
8.119185,9,1439.607876
3.149082,4,1440.478801
10.067756,12,1443.071656
11.507784,14,1446.110744
10.015726,11,1448.539464
1.864609,3,1449.202147
15.213421,17,1452.88399
25.732067,30,1459.423548
34.040443,40,1468.086254
18.844449,20,1472.378772
23.616963,27,1478.139663
25.593709,31,1484.828262
24.984021,27,1490.614099
28.571018,34,1497.959726
10.147556,12,1500.548155
11.46017,13,1503.32111
11.920871,14,1506.320851
10.169958,13,1509.116162
30.917533,33,1516.173556
17.063974,20,1520.490129
8.811099,11,1522.875587
31.229575,35,1530.367714
8.820774,10,1532.498982
18.032366,20,1536.772044
15.242277,20,1541.056828
20.354856,22,1545.775844
25.596442,30,1552.2111
13.200179,15,1555.428976
21.399434,30,1561.858185
16.926834,19,1565.945044
12.717808,16,1569.403245
4.733904,6,1570.694951
3.580741,5,1571.77666
14.173385,16,1575.203108
7.567486,9,1577.147018
4.000816,5,1578.234286
28.133337,32,1585.093143
37.189617,40,1593.662663
7.039185,8,1595.384429
22.682087,25,1600.7984
21.5779,30,1607.232777
4.703146,6,1608.544903
16.943472,19,1612.618698
33.436817,40,1621.250373
27.289375,36,1628.953174
19.013242,21,1633.461387
25.948939,32,1640.36691
32.027481,40,1648.99489
12.128188,15,1652.226705
13.881155,15,1655.447121
4.560012,7,1656.964153
25.61646,31,1663.584415
19.379654,21,1668.103771
14.997258,17,1671.754132
18.257558,22,1676.478549
13.172519,16,1679.899626
18.414788,20,1684.19104
3.484908,5,1685.260067
7.646047,9,1687.2
22.398364,24,1692.338778
23.653095,29,1698.533602
19.376732,22,1703.239622
4.77653,6,1704.533085
2.681698,4,1705.404444
6.889551,10,1707.585235
6.701699,8,1709.308506
23.794503,28,1715.346447
30.64165,34,1722.665893
8.372676,11,1725.040135
3.039322,4,1725.918294
6.372519,8,1727.633779
3.193527,4,1728.50762
15.993242,19,1732.63217
8.679477,10,1734.796953
6.797981,8,1736.529234
24.100119,30,1742.965964
8.571586,10,1745.118255
13.18372,15,1748.378226
23.398506,26,1754.034401
33.550534,40,1762.672188
12.088084,13,1765.50336
28.448205,40,1774.07963
11.960097,13,1776.863821
33.579494,38,1785.027095
19.103377,22,1789.685607
17.38724,21,1794.20127
13.872448,16,1797.711043
7.43645,9,1799.66018
31.160754,33,1806.716996
22.65771,27,1812.498775
17.87965,20,1816.832897
4.5909,6,1818.130207
32.421389,40,1826.754197
11.402261,13,1829.599436
33.573207,40,1838.205601
33.40252,40,1846.860874
4.825267,7,1848.372767
5.754628,7,1849.880011
32.645805,40,1858.514648
8.567483,10,1860.656716
12.373538,16,1864.073183
4.955317,6,1865.35073
16.815723,19,1869.442889
11.705852,14,1872.446112
17.239484,20,1876.751713
11.744326,15,1880.008256
20.34317,23,1884.956681
14.08688,17,1888.62788
28.626244,40,1897.288604
35.099049,40,1905.906986
13.994768,18,1909.819462
6.571302,8,1911.549332
19.837923,24,1916.731309
9.932397,12,1919.334571
14.541455,16,1922.805006
31.562663,39,1931.139985
32.650098,35,1938.769603
8.74704,10,1940.903537
22.481106,26,1946.439259
13.068668,16,1949.870223
11.600745,13,1952.660384
10.904611,12,1955.280223
15.081484,20,1959.535462
33.432082,40,1968.17651
14.719185,17,1971.832556
2.749604,4,1972.701747
11.575716,14,1975.685181
32.866753,40,1984.258209
29.1734,36,1991.970713
20.605551,23,1996.905696
17.508633,20,2001.203651
14.905853,17,2004.845155
28.936568,40,2013.552453
6.843675,8,2015.310394
25.773306,31,2022.122172
28.688876,40,2030.812692
15.589524,17,2034.545058
5.886287,7,2036.079394
30.736199,40,2044.851205
4.639189,6,2046.150557
12.113328,13,2048.974739
33.213624,40,2057.630844
16.093256,19,2061.724761
33.807004,39,2070.120123
4.083634,5,2071.210481
18.684652,21,2075.751601
33.665981,40,2084.376662
13.547558,16,2087.849632
21.183091,25,2093.16525
7.467912,9,2095.109104
10.53709,12,2097.69381
13.779586,17,2101.457979
37.320127,40,2110.257574
34.339323,38,2118.638391
10.526575,12,2121.287555
33.26435,40,2130.022717
28.151234,32,2137.078875
16.677011,18,2141.065334
18.900463,22,2145.875606
17.921443,20,2150.188364
13.490696,18,2154.089377
30.834038,35,2161.673601
3.459477,5,2162.800122
7.594569,10,2164.950822
16.235108,18,2168.794976
32.306213,40,2177.416001
31.355417,40,2186.105945
28.493462,40,2194.608407
20.301488,25,2200.008282
15.011508,20,2204.282725
11.840135,13,2207.078257
25.743864,29,2213.327945
6.567505,8,2215.044647
18.487029,21,2219.521037
29.775635,40,2228.098345
28.938592,40,2236.794099
21.297789,25,2242.401471
10.892176,12,2245.149141
17.161015,20,2249.636599
23.399409,32,2256.804652
11.132327,14,2259.903363
20.437945,23,2265.129498
29.331839,39,2273.898851
26.48046,33,2281.316211
34.691344,40,2290.363658
28.460444,31,2297.320642
6.992442,8,2299.139039
23.566899,30,2305.896715
24.743412,31,2312.868413
7.770041,9,2314.905819
30.932167,40,2323.863621
35.693465,40,2332.943629
11.433453,13,2335.837116
15.340976,18,2339.88167
14.74632,16,2343.518896
20.954617,25,2349.142406
12.103154,14,2352.292496
5.796739,8,2354.100756
11.501195,13,2357.018896
11.590248,15,2360.424078
19.690152,27,2366.56069
12.044446,14,2369.705366
9.464748,11,2372.203905
15.328962,19,2376.452736
10.435927,12,2379.158877
33.415575,40,2388.196282
3.023399,4,2389.087133
36.246285,39,2397.888446
33.329474,40,2406.793926
35.66378,40,2415.918683
37.715485,40,2425.026512
22.431409,25,2430.946647
34.37901,40,2440.464675
31.732281,40,2449.822848
34.720988,40,2459.064075
24.606896,27,2465.357835
32.798707,40,2474.723287
16.899395,19,2479.225774
8.188455,10,2481.583714
23.714996,26,2487.735369
5.480397,7,2489.305662
26.814509,29,2496.05384
23.78997,31,2503.097462
6.176619,8,2504.975692
11.886446,13,2507.945679
14.14633,17,2511.971013
37.096725,39,2521.160199
4.545948,6,2522.541111
6.76979,8,2524.42793
6.552967,9,2526.562351
6.925596,8,2528.411398
3.057744,4,2529.360152
6.487957,8,2531.249565
5.770047,7,2532.837099
28.845011,40,2542.069998
8.372519,10,2544.430974
17.771196,19,2548.855958
30.084179,40,2558.470931
34.313211,40,2567.896065
17.169871,20,2572.549779
9.754057,13,2575.630191
31.343492,37,2584.243184
24.386599,27,2590.424959
5.680898,7,2592.097908
6.641216,8,2593.988217
32.178856,40,2603.20396
29.150481,39,2612.389805
16.655516,19,2616.852024
24.597243,32,2624.328987
9.688377,11,2626.860357
12.881969,16,2630.597289
37.192543,40,2639.445782
13.708331,17,2643.193182
21.058749,22,2647.950737
32.423592,40,2656.68665
30.976274,40,2665.380133
5.590951,7,2666.897877
16.930791,22,2671.808772
33.066712,40,2680.599583
32.33529,40,2689.444771
36.776809,40,2698.055009
29.755669,40,2706.651706
33.13571,40,2715.130148
15.966525,17,2718.787686
22.735062,27,2724.662218
10.198811,12,2727.249483
33.768507,40,2735.91601
29.49357,40,2744.544933
14.970659,18,2748.416433
31.07833,40,2757.006593
33.466782,40,2765.646815
32.783545,36,2773.369265
33.047903,40,2782.047869
19.906087,23,2787.061058
35.091882,40,2795.657598
9.924367,11,2798.008114
27.411558,33,2805.076342
11.147638,12,2807.671588
33.462181,40,2816.183987
15.622246,20,2820.488456
16.214471,21,2825.002895
11.48365,13,2827.778879
33.231349,38,2835.968157
10.200638,14,2838.996396
9.043886,12,2841.575168
36.677565,40,2850.21273
30.599165,40,2858.816007
33.524532,40,2867.459946
30.646405,40,2875.981423
8.755307,11,2878.330102
30.588866,36,2886.091147
34.818166,40,2894.701061
5.838691,7,2896.212595
8.038532,10,2898.375869
4.638515,6,2899.657246
31.360815,40,2908.241354
7.704618,9,2910.164137
33.287236,40,2918.738487
10.466028,12,2921.333467
33.837427,40,2930.123279
9.21571,13,2933.036037
33.350307,40,2941.96425
33.100317,40,2950.931746
7.665213,10,2953.15309
5.617527,7,2954.722499
32.59792,40,2963.731238
30.291112,40,2972.833123
32.862528,40,2981.87628
13.064919,17,2985.727085
30.404497,40,2994.745652
6.015726,7,2996.324253
23.429897,26,3002.382203
13.2191,18,3006.399746
5.351732,7,3007.909278
11.455662,13,3010.824801
36.014099,40,3019.575894
20.857996,24,3024.768137
30.550279,40,3033.387983
29.559316,40,3041.960063
34.590448,40,3050.587564
4.5732,6,3051.88283
30.5678,40,3060.468478
34.571438,40,3069.107338
21.277129,30,3075.626299
4.228749,5,3076.714216
28.460035,35,3084.311951
11.309069,14,3087.342093
33.703667,40,3095.948344
30.827481,40,3104.602481
35.168431,40,3113.171607
31.19711,40,3121.790642
34.900162,40,3130.429614
37.410345,40,3139.112309
36.832762,40,3147.698609
14.998684,17,3151.34262
21.57033,27,3157.126616
34.671908,40,3165.82221
15.796155,19,3169.891628
30.97232,38,3178.056428
5.926841,7,3179.556981
34.4835,40,3188.188444
30.04689,40,3196.793154
34.343562,40,3205.476102
20.127133,25,3210.90246
32.092905,40,3219.562145
33.58031,40,3228.181979
17.350739,23,3233.22987
31.380555,40,3241.883515
36.002965,40,3250.769864
20.610327,22,3255.497345
32.913643,40,3264.120776
7.243601,9,3266.051349
32.729906,40,3274.702279
33.509086,39,3283.173714
25.248022,31,3289.861929
8.400568,10,3292.016047
34.276921,40,3300.627658
33.329437,38,3308.86788
