#{"t_start": 1743031781.3462484, "env_id": "highway-fast-v0"}
r,l,t
8.811532,10,478.821849
20.610101,22,482.076988
10.01264,12,483.820338
11.550865,13,485.654182
5.846173,8,486.902414
10.312484,12,488.75691
12.933333,17,491.181411
22.652266,30,495.780429
11.513112,13,497.567027
7.645361,9,498.847834
17.466891,20,501.899431
21.618369,29,506.456151
23.353555,30,511.01042
5.764755,8,512.042426
12.019157,13,514.107747
10.048055,13,516.077825
5.917175,7,517.166444
9.715775,12,518.969697
24.918165,30,523.607403
14.417208,16,525.970965
21.652352,30,530.424719
4.444828,6,531.308172
6.778685,8,532.499097
6.478685,8,533.806863
24.286264,30,538.405792
8.978006,12,540.249456
20.009628,22,543.625125
5.71183,7,544.701374
4.879308,6,545.57152
4.233333,6,546.47092
8.513243,11,548.142508
13.345487,15,550.284942
7.179779,8,551.332124
5.179157,6,552.297362
10.584865,12,554.131039
8.52911,11,555.865965
23.501027,30,560.275225
2.812378,4,560.848037
6.945974,8,562.017764
15.663381,17,564.640093
23.353555,30,569.103419
22.420221,30,573.565533
23.945507,30,577.85623
3.678886,5,578.507594
22.933747,30,583.045484
5.746452,7,583.991956
9.6,13,585.908667
10.611531,12,587.794899
16.678821,21,590.708872
12.813162,18,593.324375
14.646445,16,595.572441
10.013112,11,597.268556
4.629428,6,598.113815
24.364041,28,602.470123
12.21079,14,604.581919
4.611562,6,605.514299
24.913509,30,610.144941
25.086888,30,614.520106
14.377619,16,616.95031
24.05261,30,621.266576
11.760669,14,623.049404
3.645132,5,623.550162
13.278176,18,625.54545
6.820221,10,626.944096
18.85173,25,630.273571
17.40204,21,632.840732
8.645829,11,634.20805
6.879157,8,635.059786
7.953554,11,636.332562
10.048758,11,637.753477
13.779779,15,639.362723
23.332756,30,642.904681
12.312154,14,644.763329
10.313112,11,646.160101
11.077532,13,647.905561
23.184976,30,652.184854
17.7008,20,655.267993
24.985929,30,659.622847
26.950579,30,664.253091
7.519592,11,666.028078
6.019547,8,667.277228
18.776101,20,670.40302
21.843368,24,673.95891
4.799377,7,675.092446
15.869018,19,677.894174
8.785157,11,679.588702
7.318475,9,681.020531
7.746446,9,682.337297
25.486888,30,686.553371
2.918326,4,687.111013
12.415495,17,689.781976
3.896881,5,690.495048
12.901323,16,693.002398
21.483907,30,697.666067
26.985929,30,702.137241
14.798321,17,704.557535
23.852266,30,708.914382
11.248988,13,710.820654
23.686888,30,714.91437
8.144894,10,716.421968
2.952012,4,717.044997
14.063532,16,719.478241
19.034733,23,722.936155
1.946334,3,723.401644
14.851824,16,725.722647
14.817223,17,728.148785
1.880129,3,728.649449
6.513112,8,729.649963
23.385306,30,734.13824
8.115452,10,735.662374
5.385203,7,736.749336
19.998602,25,740.545143
3.245981,4,741.126642
25.275779,30,745.691546
3.046492,4,746.275878
13.743242,15,748.485824
5.684199,7,749.545587
11.412154,13,751.37732
16.649459,20,754.359429
8.231137,10,755.877293
4.830208,6,756.80408
13.12925,15,759.031417
10.079162,12,760.808396
6.534182,8,761.967128
19.114719,23,765.493663
11.219771,14,767.664643
10.384866,12,769.516203
15.751546,17,772.238318
11.545501,13,774.16162
13.046445,14,776.271838
4.0,6,777.203695
11.444864,13,779.041438
20.684756,30,783.36949
10.246452,13,785.111677
8.130671,10,786.526554
23.718653,30,791.200934
8.645823,10,792.754134
11.812496,14,794.93297
2.648486,4,795.523041
26.951242,30,800.180882
22.166667,30,803.843008
6.510868,8,804.721097
24.652266,30,808.510075
7.71106,9,809.638192
7.735955,10,810.804214
23.683807,30,814.432786
23.152932,30,818.219075
23.951336,30,821.725152
20.148257,25,824.863336
8.945487,10,826.020315
21.752926,30,829.849421
24.118932,30,833.399323
24.751064,30,837.022687
24.952932,30,840.497952
11.650541,13,841.8569
15.478198,17,844.013396
6.399377,9,845.078131
16.859927,19,847.764402
2.896921,4,848.349036
21.684653,30,851.946489
22.153555,30,856.17736
16.153514,22,859.108202
22.71831,30,863.78161
12.068361,15,865.968491
20.820221,30,870.519676
12.619157,14,872.68092
5.379163,7,873.761952
23.486265,30,878.325132
10.179831,13,880.345783
15.420216,21,883.573957
22.48642,30,888.211682
